date,base,quote,rate
2025-09-30,USD,KZT,480.0
2025-09-30,EUR,KZT,510.0
2025-09-30,RUB,KZT,5.2
2025-09-30,UZS,KZT,0.042
2025-10-01,KZT,KZT,1.0
2025-10-01,USD,KZT,480.0
2025-10-01,EUR,KZT,510.0
2025-10-01,RUB,KZT,5.2
2025-10-01,UZS,KZT,0.042
2025-10-02,KZT,KZT,1.0
2025-10-02,USD,KZT,480.0
2025-10-02,EUR,KZT,510.0
2025-10-02,RUB,KZT,5.2
2025-10-02,UZS,KZT,0.042
2025-10-03,KZT,KZT,1.0
2025-10-03,USD,KZT,480.0
2025-10-03,EUR,KZT,510.0
2025-10-03,RUB,KZT,5.2
2025-10-03,UZS,KZT,0.042
2025-10-04,KZT,KZT,1.0
2025-10-04,USD,KZT,480.0
2025-10-04,EUR,KZT,510.0
2025-10-04,RUB,KZT,5.2
2025-10-04,UZS,KZT,0.042
2025-10-05,KZT,KZT,1.0
2025-10-05,USD,KZT,480.0
2025-10-05,EUR,KZT,510.0
2025-10-05,RUB,KZT,5.2
2025-10-05,UZS,KZT,0.042
2025-10-06,KZT,KZT,1.0
2025-10-06,USD,KZT,480.0
2025-10-06,EUR,KZT,510.0
2025-10-06,RUB,KZT,5.2
2025-10-06,UZS,KZT,0.042
2025-10-07,KZT,KZT,1.0
2025-10-07,USD,KZT,480.0
2025-10-07,EUR,KZT,510.0
2025-10-07,RUB,KZT,5.2
2025-10-07,UZS,KZT,0.042
2025-10-08,KZT,KZT,1.0
2025-10-08,USD,KZT,480.0
2025-10-08,EUR,KZT,510.0
2025-10-08,RUB,KZT,5.2
2025-10-08,UZS,KZT,0.042
2025-10-09,KZT,KZT,1.0
2025-10-09,USD,KZT,480.0
2025-10-09,EUR,KZT,510.0
2025-10-09,RUB,KZT,5.2
2025-10-09,UZS,KZT,0.042
2025-10-10,KZT,KZT,1.0
2025-10-10,USD,KZT,480.0
2025-10-10,EUR,KZT,510.0
2025-10-10,RUB,KZT,5.2
2025-10-10,UZS,KZT,0.042
2025-10-11,KZT,KZT,1.0
2025-10-11,USD,KZT,480.0
2025-10-11,EUR,KZT,510.0
2025-10-11,RUB,KZT,5.2
2025-10-11,UZS,KZT,0.042
2025-10-12,KZT,KZT,1.0
2025-10-12,USD,KZT,480.0
2025-10-12,EUR,KZT,510.0
2025-10-12,RUB,KZT,5.2
2025-10-12,UZS,KZT,0.042
2025-10-13,KZT,KZT,1.0
2025-10-13,USD,KZT,480.0
2025-10-13,EUR,KZT,510.0
2025-10-13,RUB,KZT,5.2
2025-10-13,UZS,KZT,0.042
2025-10-14,KZT,KZT,1.0
2025-10-14,USD,KZT,480.0
2025-10-14,EUR,KZT,510.0
2025-10-14,RUB,KZT,5.2
2025-10-14,UZS,KZT,0.042
2025-10-15,KZT,KZT,1.0
2025-10-15,USD,KZT,480.0
2025-10-15,EUR,KZT,510.0
2025-10-15,RUB,KZT,5.2
2025-10-15,UZS,KZT,0.042
2025-10-16,KZT,KZT,1.0
2025-10-16,USD,KZT,480.0
2025-10-16,EUR,KZT,510.0
2025-10-16,RUB,KZT,5.2
2025-10-16,UZS,KZT,0.042
2025-10-17,KZT,KZT,1.0
2025-10-17,USD,KZT,480.0
2025-10-17,EUR,KZT,510.0
2025-10-17,RUB,KZT,5.2
2025-10-17,UZS,KZT,0.042
2025-10-18,KZT,KZT,1.0
2025-10-18,USD,KZT,480.0
2025-10-18,EUR,KZT,510.0
2025-10-18,RUB,KZT,5.2
2025-10-18,UZS,KZT,0.042
2025-10-19,KZT,KZT,1.0
2025-10-19,USD,KZT,480.0
2025-10-19,EUR,KZT,510.0
2025-10-19,RUB,KZT,5.2
2025-10-19,UZS,KZT,0.042
2025-10-20,KZT,KZT,1.0
2025-10-20,USD,KZT,480.0
2025-10-20,EUR,KZT,510.0
2025-10-20,RUB,KZT,5.2
2025-10-20,UZS,KZT,0.042
2025-10-21,KZT,KZT,1.0
2025-10-21,USD,KZT,480.0
2025-10-21,EUR,KZT,510.0
2025-10-21,RUB,KZT,5.2
2025-10-21,UZS,KZT,0.042
2025-10-22,KZT,KZT,1.0
2025-10-22,USD,KZT,480.0
2025-10-22,EUR,KZT,510.0
2025-10-22,RUB,KZT,5.2
2025-10-22,UZS,KZT,0.042
2025-10-23,KZT,KZT,1.0
2025-10-23,USD,KZT,480.0
2025-10-23,EUR,KZT,510.0
2025-10-23,RUB,KZT,5.2
2025-10-23,UZS,KZT,0.042
2025-10-24,KZT,KZT,1.0
2025-10-24,USD,KZT,480.0
2025-10-24,EUR,KZT,510.0
2025-10-24,RUB,KZT,5.2
2025-10-24,UZS,KZT,0.042
2025-10-25,KZT,KZT,1.0
2025-10-25,USD,KZT,480.0
2025-10-25,EUR,KZT,510.0
2025-10-25,RUB,KZT,5.2
2025-10-25,UZS,KZT,0.042
2025-10-26,KZT,KZT,1.0
2025-10-26,USD,KZT,480.0
2025-10-26,EUR,KZT,510.0
2025-10-26,RUB,KZT,5.2
2025-10-26,UZS,KZT,0.042
2025-10-27,KZT,KZT,1.0
2025-10-27,USD,KZT,480.0
2025-10-27,EUR,KZT,510.0
2025-10-27,RUB,KZT,5.2
2025-10-27,UZS,KZT,0.042
2025-10-28,KZT,KZT,1.0
2025-10-28,USD,KZT,480.0
2025-10-28,EUR,KZT,510.0
2025-10-28,RUB,KZT,5.2
2025-10-28,UZS,KZT,0.042
2025-10-29,KZT,KZT,1.0
2025-10-29,USD,KZT,480.0
2025-10-29,EUR,KZT,510.0
2025-10-29,RUB,KZT,5.2
2025-10-29,UZS,KZT,0.042
2025-10-30,KZT,KZT,1.0
2025-10-30,USD,KZT,480.0
2025-10-30,EUR,KZT,510.0
2025-10-30,RUB,KZT,5.2
2025-10-30,UZS,KZT,0.042
2025-10-31,KZT,KZT,1.0
2025-10-31,USD,KZT,480.0
2025-10-31,EUR,KZT,510.0
2025-10-31,RUB,KZT,5.2
2025-10-31,UZS,KZT,0.042
2025-11-01,KZT,KZT,1.0
2025-11-01,USD,KZT,480.0
2025-11-01,EUR,KZT,510.0
2025-11-01,RUB,KZT,5.2
2025-11-01,UZS,KZT,0.042
2025-11-02,KZT,KZT,1.0
2025-11-02,USD,KZT,480.0
2025-11-02,EUR,KZT,510.0
2025-11-02,RUB,KZT,5.2
2025-11-02,UZS,KZT,0.042
2025-11-03,KZT,KZT,1.0
2025-11-03,USD,KZT,480.0
2025-11-03,EUR,KZT,510.0
2025-11-03,RUB,KZT,5.2
2025-11-03,UZS,KZT,0.042
2025-11-04,KZT,KZT,1.0
2025-11-04,USD,KZT,480.0
2025-11-04,EUR,KZT,510.0
2025-11-04,RUB,KZT,5.2
2025-11-04,UZS,KZT,0.042
2025-11-05,KZT,KZT,1.0
2025-11-05,USD,KZT,480.0
2025-11-05,EUR,KZT,510.0
2025-11-05,RUB,KZT,5.2
2025-11-05,UZS,KZT,0.042
2025-11-06,KZT,KZT,1.0
2025-11-06,USD,KZT,480.0
2025-11-06,EUR,KZT,510.0
2025-11-06,RUB,KZT,5.2
2025-11-06,UZS,KZT,0.042
2025-11-07,KZT,KZT,1.0
2025-11-07,USD,KZT,480.0
2025-11-07,EUR,KZT,510.0
2025-11-07,RUB,KZT,5.2
2025-11-07,UZS,KZT,0.042
2025-11-08,KZT,KZT,1.0
2025-11-08,USD,KZT,480.0
2025-11-08,EUR,KZT,510.0
2025-11-08,RUB,KZT,5.2
2025-11-08,UZS,KZT,0.042
2025-11-09,KZT,KZT,1.0
2025-11-09,USD,KZT,480.0
2025-11-09,EUR,KZT,510.0
2025-11-09,RUB,KZT,5.2
2025-11-09,UZS,KZT,0.042
2025-11-10,KZT,KZT,1.0
2025-11-10,USD,KZT,480.0
2025-11-10,EUR,KZT,510.0
2025-11-10,RUB,KZT,5.2
2025-11-10,UZS,KZT,0.042
2025-11-11,KZT,KZT,1.0
2025-11-11,USD,KZT,480.0
2025-11-11,EUR,KZT,510.0
2025-11-11,RUB,KZT,5.2
2025-11-11,UZS,KZT,0.042
2025-11-12,KZT,KZT,1.0
2025-11-12,USD,KZT,480.0
2025-11-12,EUR,KZT,510.0
2025-11-12,RUB,KZT,5.2
2025-11-12,UZS,KZT,0.042
2025-11-13,KZT,KZT,1.0
2025-11-13,USD,KZT,480.0
2025-11-13,EUR,KZT,510.0
2025-11-13,RUB,KZT,5.2
2025-11-13,UZS,KZT,0.042
2025-11-14,KZT,KZT,1.0
2025-11-14,USD,KZT,480.0
2025-11-14,EUR,KZT,510.0
2025-11-14,RUB,KZT,5.2
2025-11-14,UZS,KZT,0.042
2025-11-15,KZT,KZT,1.0
2025-11-15,USD,KZT,480.0
2025-11-15,EUR,KZT,510.0
2025-11-15,RUB,KZT,5.2
2025-11-15,UZS,KZT,0.042
2025-11-16,KZT,KZT,1.0
2025-11-16,USD,KZT,480.0
2025-11-16,EUR,KZT,510.0
2025-11-16,RUB,KZT,5.2
2025-11-16,UZS,KZT,0.042
