date,amount,currency,type,category,description,status
2025-08-16,5606046.316514005,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-16,4068748.9422615995,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-17,4233734.373803005,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-17,4504139.414415448,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-18,4820662.580608782,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-18,1723339.5504852962,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-19,1881704.2950512483,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-19,5149519.43792354,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-20,1827188.970243886,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-20,4325602.429049343,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-21,4297549.950308062,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-21,2319010.474008806,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-22,4673582.991413321,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-22,2107365.2102398556,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-23,4200607.585493023,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-23,4615395.9090825245,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-24,3438849.1475663055,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-24,4409975.498920022,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-25,5849319.444731933,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-25,4530806.362122777,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-25,3000000.0,KZT,outflow,Payroll,Employee salaries,actual
2025-08-26,4073147.6379868425,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-26,3053266.4206530587,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-27,5801875.16954301,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-27,3648713.200998793,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-28,4496020.992223149,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-28,4747943.322339287,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-29,6456438.054802778,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-29,2096278.7633892104,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-30,2265740.3719165013,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-30,5813938.051884827,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-31,3782733.6143633453,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-31,4266445.242267374,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-01,6538081.907451694,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-01,3892495.961953992,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-02,6020912.979069584,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-02,3005160.6097676507,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-03,6039917.935378279,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-03,3602051.7480663043,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-04,6080756.125294,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-04,4017480.205825699,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-05,5852571.527884179,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-05,3508274.8843793166,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-06,5274436.865923429,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-06,2634221.196965134,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-07,7111229.605238686,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-07,4437781.039518951,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-08,3391160.4565193728,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-08,2322588.114621751,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-09,8877328.686706964,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-09,3190708.2161864,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-10,7616995.679692454,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-10,4573949.932863743,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-10,3000000.0,KZT,outflow,Payroll,Employee salaries,actual
2025-09-11,6006922.337949446,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-11,6275732.576174083,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-12,8088436.486474888,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-12,5203872.901598478,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-13,7692837.1614922425,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-13,4151840.702035028,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-14,7119417.435682819,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-14,5819115.258095866,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-15,7182770.471710846,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-15,3038768.33553942,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-16,6980423.293256799,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-16,2762095.478464828,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-17,8721129.695727482,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-17,5384288.884052987,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-18,7958786.336661063,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-18,2024386.752534478,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-19,5377988.549343829,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-09-19,3685811.1164496653,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-09-22,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-09-24,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-09-25,3200000.0,KZT,outflow,Payroll,Planned salaries,planned
2025-09-25,2000000.0,KZT,outflow,Tax,VAT / CIT payment,planned
2025-09-26,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-09-29,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-01,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-03,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-06,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-08,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-10,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-10,3200000.0,KZT,outflow,Payroll,Planned salaries,planned
2025-10-13,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-15,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-17,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-20,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-22,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-24,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-25,3200000.0,KZT,outflow,Payroll,Planned salaries,planned
2025-10-25,2000000.0,KZT,outflow,Tax,VAT / CIT payment,planned
2025-10-27,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-29,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-10-31,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
2025-11-03,6000000.0,KZT,inflow,Sales,Planned sales inflow,planned
